WKT,date,time,victims
"POINT (25.55369 41.949)",7.5.2021,09:50,injured
"POINT (26.28675 42.554)",19.2.2022,13:10,died
"POINT (23.31205 42.664)",23.2.2024,06:30,injured
"POINT (27.59794 43.328)",13.10.2022,10:30,injured
"POINT (22.95836 43.692)",29.10.2022,12:30,injured
"POINT (28.03886 43.701)",17.2.2022,11:35,injured
"POINT (25.28404 41.29575)",15.10.2023,13:00,injured
"POINT (25.0963615411 41.3793534775)",10.7.2024,12:05,unharmed
"POINT (23.19846 41.38997)",14.8.2023,09:50,injured
"POINT (23.21046 41.39217)",1.9.2022,15:50,injured
"POINT (23.2151 41.39676)",21.8.2023,14:25,injured
"POINT (23.20407 41.39802)",27.3.2021,19:45,injured
"POINT (24.98509 41.41748)",3.6.2021,21:30,injured
"POINT (25.40292 41.52956)",14.9.2022,09:50,injured
"POINT (25.41072 41.53087)",20.6.2021,15:40,injured
"POINT (25.41286 41.53642)",5.7.2023,18:10,injured
"POINT (26.17127 41.5459)",28.6.2021,20:00,injured
"POINT (24.7356720242 41.568267249)",4.7.2024,22:20,injured
"POINT (24.7285321755 41.5695542016)",5.10.2024,12:05,injured
"POINT (23.732843 41.569787)",5.9.2024,09:45,injured
"POINT (24.8019077833 41.57145125)",15.3.2025,14:25,unharmed
"POINT (24.6919 41.57702)",2.8.2021,20:45,injured
"POINT (25.37781 41.62862)",28.10.2023,07:20,injured
"POINT (25.42063 41.63115)",23.7.2021,19:05,injured
"POINT (25.37328 41.63593)",3.8.2021,18:30,injured
"POINT (25.37189 41.63629)",6.6.2021,15:45,injured
"POINT (25.37259 41.63677)",18.6.2023,14:30,injured
"POINT (25.38249 41.63814)",5.8.2023,13:35,injured
"POINT (25.37113 41.64261)",26.7.2022,21:30,injured
"POINT (25.37074 41.6489)",6.12.2023,07:30,injured
"POINT (23.7648392 41.7219101)",2.3.2024,16:00,unharmed
"POINT (24.68436 41.72851)",29.8.2021,22:05,injured
"POINT (26.200799 41.763712)",12.5.2024,21:30,injured
"POINT (26.206499566 41.7642535343)",2.10.2024,18:00,injured
"POINT (26.19319 41.7677)",2.5.2021,17:47,injured
"POINT (26.19556 41.76791)",14.8.2021,19:30,unharmed
"POINT (26.150529 41.774767)",9.11.2024,22:06,injured
"POINT (26.150529 41.774767)",9.11.2024,22:06,injured
"POINT (26.150529 41.774767)",9.11.2024,22:06,died
"POINT (26.2049093 41.7775123)",1.7.2024,10:00,injured
"POINT (23.5018265135 41.8335654222)",26.6.2024,11:50,unharmed
"POINT (26.08405 41.84464)",9.5.2021,11:47,injured
"POINT (26.08344 41.84529)",27.5.2023,01:00,unharmed
"POINT (23.46779 41.88357)",14.6.2023,19:30,injured
