WKT,Категория,Категория #,Град/район,Име,name,description,Категория #
"LINESTRING (23.321582 42.683193, 23.331002 42.686236, 23.330621 42.686505, 23.321427 42.683445, 23.321587 42.683196)",Велоалеи,1.0,София,Велоалея бул. Евлоги Георгиев,,,
"LINESTRING (23.330906 42.6866, 23.333679 42.688465, 23.334226 42.688847, 23.334355 42.688772, 23.336876 42.690397, 23.336779 42.69046, 23.33701 42.69057, 23.337321 42.690342)",Велоалеи,1.0,София,Велоалея бул. Евлоги Георгиев,,,
"LINESTRING (23.3376 42.690783, 23.337842 42.690645, 23.338094 42.690744, 23.339832 42.691142, 23.339746 42.691323, 23.343742 42.692218, 23.3442137 42.6924675)",Велоалеи,1.0,София,Велоалея бул. Евлоги Георгиев,,,
"LINESTRING (23.309598 42.692033, 23.28472 42.67887, 23.272787 42.672174, 23.2628932 42.666344, 23.2605186 42.6653958)",Велоалеи,1.0,София,бул. Цар Борис III,,,
"LINESTRING (23.28585 42.678153, 23.294288 42.672221, 23.300929 42.66673, 23.302592 42.665523)",Велоалеи,1.0,София,Велоалея бул. Гоце Делчев,,,
"LINESTRING (23.376138 42.650293, 23.375992 42.650176, 23.376191 42.650023, 23.376175 42.649989, 23.374898 42.648981, 23.374838 42.648938, 23.374765 42.648865, 23.374969 42.648449, 23.375001 42.647904, 23.375387 42.647068, 23.375521 42.647013, 23.375494 42.646942, 23.376406 42.646673, 23.377367 42.646172, 23.380027 42.642889, 23.381208 42.641445, 23.38139 42.641002, 23.376852 42.640362, 23.376887 42.640241, 23.375103 42.640021, 23.375039 42.639106)",Велоалеи,1.0,София,Велоалея - жк. Младост,,,
"LINESTRING (23.375181 42.630316, 23.378531 42.630651, 23.380172 42.630738, 23.380494 42.630865, 23.380247 42.636477, 23.381428 42.638718, 23.381717 42.639815, 23.381425 42.640681, 23.38139 42.641002)",Велоалеи,1.0,София,Велоалея - жк. Младост,,,
"LINESTRING (23.293105 42.73507, 23.30539 42.72368)",Велоалеи,1.0,София,Велоалея - бул. Ломско шосе,,,
"LINESTRING (23.301865 42.682058, 23.301669 42.68264, 23.30113 42.68576, 23.30086 42.68637, 23.300595 42.686652)",Велоалеи,1.0,София,Велоалея - бул. Акад. Иван Гешов,,,
"LINESTRING (23.310167 42.715438, 23.32251 42.71039, 23.323904 42.70516, 23.323625 42.704597)",Велоалеи,1.0,София,Велоалея по бул. Мария,,,
"LINESTRING (23.30539 42.72367, 23.30698 42.72233, 23.30884 42.72133, 23.30954 42.72104, 23.30987 42.72072, 23.31009 42.72036, 23.30959 42.7158, 23.310167 42.71544)",Велоалеи,1.0,София,Велоалея надлез Надежда,,,
"LINESTRING (23.276832 42.669515, 23.27284 42.660008, 23.27239 42.657728)",Велоалеи,1.0,София,Велоалея бул. Бъкстон,,,
"LINESTRING (23.315002 42.683532, 23.316126 42.682709, 23.316357 42.682595, 23.316733 42.6825, 23.317218 42.682422, 23.317688 42.682416, 23.318106 42.682514, 23.320161 42.683238, 23.320195 42.683317)",Велоалеи,1.0,София,Велоалея - бул. България - бул. Пенчо Славейков - север,,,
"LINESTRING (23.242198 42.726295, 23.243979 42.725413)",Велоалеи,1.0,София,Велоалея -  бул. Царица Йоанна,,,
"LINESTRING (23.2849622 42.6954516, 23.278038 42.6906179, 23.2760772 42.6880306, 23.2741452 42.6853926)",,2.0,София,бул. Никола Мушанов,,,
"LINESTRING (23.2851113 42.7058236, 23.2933093 42.7039796, 23.2962713 42.7022456, 23.3158563 42.6988486)",Велоалеи,2.0,София,Велолента - бул. Тодор Александров - южна,,,
"LINESTRING (23.321561 42.688697, 23.321132 42.686089, 23.320986 42.685964, 23.320909 42.685461, 23.320613 42.684088, 23.320195 42.683317)",Велоалеи,1.0,София,ул. Фритьоф Нансен,,,
"LINESTRING (23.401195 42.644413, 23.401668 42.64419, 23.402059 42.64466, 23.402434 42.645164, 23.403794 42.647498, 23.403465 42.64766, 23.401992 42.645239, 23.401195 42.644413, 23.401026 42.644298, 23.401028 42.64422, 23.400855 42.644036, 23.400238 42.643473, 23.399979 42.643354)",Велоалеи,1.0,София,Велоалея - бул. Копенхаген,,,
"LINESTRING (23.395418 42.653949, 23.395413 42.65462, 23.394122 42.656454, 23.394114 42.656924, 23.394218 42.657402, 23.394024 42.657502, 23.394169 42.657839, 23.394445 42.657752, 23.394677 42.658842, 23.39478 42.659305, 23.394916 42.659578)",Велоалеи,1.0,София,Велоалаея - ул. Обиколна,,,
"LINESTRING (23.303095 42.679871, 23.303256 42.679732, 23.305992 42.680649, 23.308608 42.681475, 23.310814 42.681721, 23.312676 42.681861, 23.313634 42.682175)",Велоалеи,1.0,София,Бул. България,,,
"LINESTRING (23.326002 42.697722, 23.329934 42.69817, 23.334647 42.698656, 23.337922 42.698945)",Велоалеи,1.0,София,Велоалея - бул. Дондуков,,,
"LINESTRING (23.310596 42.687069, 23.313965 42.689427)",Велоалеи,1.0,София,Велоалея по бул. Прага,,,
"LINESTRING (23.323181 42.68869, 23.323502 42.690669, 23.325019 42.691412, 23.326749 42.69262, 23.32755 42.69316, 23.328765 42.69431, 23.328816 42.694336)",Велоалеи,1.0,София,Велоалея - ул. Г.С. Раковски,,,
"LINESTRING (23.256098 42.683974, 23.2544734 42.6902815)",,2.0,София,ул. Монтевидео,,,
"LINESTRING (23.395418 42.653949, 23.395456 42.653078, 23.395619 42.652575, 23.395998 42.652002, 23.396378 42.651679, 23.398218 42.650627, 23.398487 42.650396, 23.399887 42.64873, 23.400257 42.64824, 23.400992 42.648033, 23.402636 42.647969, 23.403465 42.64766, 23.403794 42.647498, 23.404528 42.64708, 23.404755 42.646816, 23.404763 42.646469, 23.404944 42.646446, 23.404937 42.643882, 23.405075 42.643559, 23.40522 42.643411, 23.405451 42.643259, 23.411523 42.640542, 23.411882 42.640443, 23.412048 42.640431)",Велоалеи,1.0,София,Велоалея - ул. Обиколна,,,
